Sample name,Sequence count
mo2_16S,547961
44_16S,537792
Pcart_16S,479469
176_16S,467104
m0b_16S(9ow),419160
BWV_16S,333435
BWV_ITS,321638
Phylloxerina_16S,318300
yrt_16S,311498
I_16S,303160
Phylloxerina_ITS,294375
C_16S,289079
28X_ITS,274282
mog_16S,273671
1p5_16S,271364
Preticulata_ITS,270140
J_16S,265998
D_16S,259008
j22_16S,239391
WI41_16S,238184
Preticulata_16S,231378
m07_16S(low),230787
cmc_ITS,198725
101_16S,194970
15.8_16S,193315
28X_16S,191000
E_16S,188693
J_ITS,170310
M_16S,164618
18_16S,139765
103_16S,135204
154_16S,134593
n8k_16S,130395
72_16S,128125
15.8_ITS,121001
j22_ITS,120397
Pstanfordiana_ITS,108411
rbo_16S,101342
IL_16S,100518
09S_16S,91496
11_16S,89850
F_16S,89233
22_16S,84420
G_16S,75728
41_16S,74296
H_16S,57527
Pstanfordiana_16S,57494
174_16S,55006
rb4_16S,49902
Blank_ITS,46296
Blank_16S,14060
cme_16S,6675
D_ITS,4297
mos_16S,385
102_16S,341
cmc_16S,215
9_16S,185
